,date,close,day_prev_close,trend_3_day
1,2009-06-04,20.5343,20.1357,-1
2,2009-06-05,20.6671,20.5343,-1
3,2009-06-08,20.55,20.6671,1
4,2009-06-09,20.3886,20.55,1
5,2009-06-10,20.0357,20.3886,-1
6,2009-06-11,19.9929,20.0357,-1
7,2009-06-12,19.5671,19.9929,-1
8,2009-06-15,19.4414,19.5671,-1
9,2009-06-16,19.4786,19.4414,-1
10,2009-06-17,19.3686,19.4786,-1
11,2009-06-18,19.4114,19.3686,-1
12,2009-06-19,19.9257,19.4114,1
13,2009-06-22,19.6243,19.9257,1
14,2009-06-23,19.1443,19.6243,1
15,2009-06-24,19.46,19.1443,-1
16,2009-06-25,19.98,19.46,-1
17,2009-06-26,20.3486,19.98,1
18,2009-06-29,20.2814,20.3486,1
19,2009-06-30,20.3471,20.2814,1
20,2009-07-01,20.4043,20.3471,1
21,2009-07-02,20.0029,20.4043,1
22,2009-07-06,19.8014,20.0029,1
23,2009-07-07,19.3429,19.8014,-1
24,2009-07-08,19.6029,19.3429,-1
25,2009-07-09,19.48,19.6029,-1
26,2009-07-10,19.7886,19.48,-1
27,2009-07-13,20.3343,19.7886,1
28,2009-07-14,20.3243,20.3343,1
29,2009-07-15,20.9829,20.3243,1
30,2009-07-16,21.0743,20.9829,1
31,2009-07-17,21.6786,21.0743,1
32,2009-07-20,21.8441,21.6786,1
33,2009-07-21,21.6443,21.8441,1
34,2009-07-22,22.3914,21.6443,1
35,2009-07-23,22.5457,22.3914,1
36,2009-07-24,22.8551,22.5457,1
37,2009-07-27,22.8714,22.8551,1
38,2009-07-28,22.8571,22.8714,1
39,2009-07-29,22.8614,22.8571,1
40,2009-07-30,23.2557,22.8614,1
41,2009-07-31,23.3414,23.2557,1
42,2009-08-03,23.7757,23.3414,1
43,2009-08-04,23.65,23.7757,1
44,2009-08-05,23.5871,23.65,1
45,2009-08-06,23.4157,23.5871,-1
46,2009-08-07,23.6443,23.4157,-1
47,2009-08-10,23.5314,23.6443,-1
48,2009-08-11,23.2614,23.5314,-1
49,2009-08-12,23.6157,23.2614,-1
50,2009-08-13,24.06,23.6157,-1
51,2009-08-14,23.8257,24.06,1
52,2009-08-17,22.7986,23.8257,1
53,2009-08-18,23.4286,22.7986,-1
54,2009-08-19,23.5143,23.4286,-1
55,2009-08-20,23.7614,23.5143,1
56,2009-08-21,24.1743,23.7614,1
57,2009-08-24,24.1514,24.1743,1
58,2009-08-25,24.2,24.1514,1
59,2009-08-26,23.9157,24.2,1
60,2009-08-27,24.2071,23.9157,-1
61,2009-08-28,24.2928,24.2071,1
62,2009-08-31,24.03,24.2928,1
63,2009-09-01,23.614,24.03,1
64,2009-09-02,23.5971,23.614,-1
65,2009-09-03,23.7929,23.5971,-1
66,2009-09-04,24.33,23.7929,-1
67,2009-09-08,24.7043,24.33,1
68,2009-09-09,24.4486,24.7043,1
69,2009-09-10,24.6514,24.4486,1
70,2009-09-11,24.5943,24.6514,1
71,2009-09-14,24.8171,24.5943,-1
72,2009-09-15,25.0228,24.8171,1
73,2009-09-16,25.9814,25.0228,1
74,2009-09-17,26.3643,25.9814,1
75,2009-09-18,26.4314,26.3643,1
76,2009-09-21,26.2886,26.4314,1
77,2009-09-22,26.3543,26.2886,1
78,2009-09-23,26.5,26.3543,1
79,2009-09-24,26.26,26.5,1
80,2009-09-25,26.0528,26.26,1
81,2009-09-28,26.5931,26.0528,-1
82,2009-09-29,26.4828,26.5931,-1
83,2009-09-30,26.4786,26.4828,-1
84,2009-10-01,25.8371,26.4786,-1
85,2009-10-02,26.4143,25.8371,-1
86,2009-10-05,26.5748,26.4143,-1
87,2009-10-06,27.1443,26.5748,1
88,2009-10-07,27.1786,27.1443,1
89,2009-10-08,27.0386,27.1786,1
90,2009-10-09,27.21,27.0386,1
91,2009-10-12,27.2586,27.21,1
92,2009-10-13,27.1457,27.2586,1
93,2009-10-14,27.3271,27.1457,1
94,2009-10-15,27.2228,27.3271,1
95,2009-10-16,26.8643,27.2228,-1
96,2009-10-19,27.1228,26.8643,-1
97,2009-10-20,28.3943,27.1228,-1
98,2009-10-21,29.2743,28.3943,1
99,2009-10-22,29.3143,29.2743,1
100,2009-10-23,29.1343,29.3143,1
101,2009-10-26,28.9257,29.1343,1
102,2009-10-27,28.1957,28.9257,-1
103,2009-10-28,27.4857,28.1957,-1
104,2009-10-29,28.05,27.4857,-1
105,2009-10-30,26.9286,28.05,-1
106,2009-11-02,27.0443,26.9286,-1
107,2009-11-03,26.9643,27.0443,1
108,2009-11-04,27.2586,26.9643,-1
109,2009-11-05,27.7186,27.2586,1
110,2009-11-06,27.7628,27.7186,1
